      Time   Sample #  Type  Sub Chan  Num	Aux
    1:02.769    22597     N    0    0    0
    1:03.539    22874     N    0    0    0
    1:04.325    23157     N    0    0    0
    1:05.128    23446     N    0    0    0
    1:05.969    23749     N    0    0    0
    1:06.794    24046     N    0    0    0
    1:07.608    24339     N    0    0    0
    1:08.383    24618     N    0    0    0
    1:09.183    24906     N    0    0    0
    1:09.975    25191     N    0    0    0
    1:10.775    25479     N    0    0    0
    1:11.594    25774     N    0    0    0
    1:12.450    26082     N    0    0    0
    1:13.278    26380     N    0    0    0
    1:14.064    26663     N    0    0    0
    1:14.850    26946     N    0    0    0
    1:15.639    27230     N    0    0    0
    1:16.469    27529     N    0    0    0
    1:17.300    27828     N    0    0    0
    1:18.128    28126     N    0    0    0
    1:18.953    28423     N    0    0    0
    1:19.778    28720     N    0    0    0
    1:20.569    29005     N    0    0    0
    1:21.344    29284     N    0    0    0
    1:22.150    29574     N    0    0    0
    1:22.953    29863     N    0    0    0
    1:23.808    30171     N    0    0    0
    1:24.664    30479     N    0    0    0
    1:25.478    30772     N    0    0    0
    1:26.275    31059     N    0    0    0
    1:27.058    31341     N    0    0    0
    1:27.858    31629     N    0    0    0
    1:28.669    31921     N    0    0    0
    1:29.494    32218     N    0    0    0
    1:30.333    32520     N    0    0    0
    1:31.183    32826     N    0    0    0
    1:31.989    33116     N    0    0    0
    1:32.758    33393     N    0    0    0
    1:33.558    33681     N    0    0    0
    1:34.364    33971     N    0    0    0
    1:35.178    34264     N    0    0    0
    1:36.014    34565     N    0    0    0
    1:36.833    34860     N    0    0    0
    1:37.658    35157     N    0    0    0
    1:38.469    35449     N    0    0    0
    1:39.250    35730     N    0    0    0
    1:40.028    36010     N    0    0    0
    1:40.844    36304     N    0    0    0
    1:41.658    36597     N    0    0    0
    1:42.525    36909     N    0    0    0
    1:43.353    37207     N    0    0    0
    1:44.144    37492     N    0    0    0
    1:44.933    37776     N    0    0    0
    1:45.733    38064     N    0    0    0
    1:46.525    38349     N    0    0    0
    1:47.350    38646     N    0    0    0
    1:48.178    38944     N    0    0    0
    1:49.014    39245     N    0    0    0
    1:49.833    39540     N    0    0    0
    1:50.603    39817     N    0    0    0
    1:51.358    40089     N    0    0    0
    1:52.153    40375     N    0    0    0
    1:52.975    40671     N    0    0    0
    1:53.789    40964     N    0    0    0
    1:54.628    41266     N    0    0    0
    1:55.444    41560     N    0    0    0
    1:56.228    41842     N    0    0    0
    1:56.975    42111     N    0    0    0
    1:57.803    42409     N    0    0    0
    1:58.589    42692     N    0    0    0
    1:59.419    42991     N    0    0    0
    2:00.278    43300     N    0    0    0
    2:01.103    43597     N    0    0    0
    2:01.903    43885     N    0    0    0
    2:02.678    44164     N    0    0    0
    2:03.469    44449     N    0    0    0
    2:04.269    44737     N    0    0    0
    2:05.064    45023     N    0    0    0
    2:05.878    45316     N    0    0    0
    2:06.725    45621     N    0    0    0
    2:07.550    45918     N    0    0    0
    2:08.325    46197     N    0    0    0
    2:09.089    46472     N    0    0    0
    2:09.869    46753     N    0    0    0
    2:10.639    47030     N    0    0    0
    2:11.464    47327     N    0    0    0
    2:12.294    47626     N    0    0    0
    2:13.094    47914     N    0    0    0
    2:13.875    48195     N    0    0    0
    2:14.664    48479     N    0    0    0
    2:15.439    48758     N    0    0    0
    2:16.203    49033     N    0    0    0
    2:16.994    49318     N    0    0    0
    2:17.808    49611     N    0    0    0
    2:18.653    49915     N    0    0    0
    2:19.464    50207     N    0    0    0
    2:20.233    50484     N    0    0    0
    2:21.008    50763     N    0    0    0
    2:21.803    51049     N    0    0    0
    2:22.589    51332     N    0    0    0
    2:23.389    51620     N    0    0    0
    2:24.203    51913     N    0    0    0
    2:25.025    52209     N    0    0    0
    2:25.828    52498     N    0    0    0
    2:26.603    52777     N    0    0    0
    2:27.378    53056     N    0    0    0
    2:28.150    53334     N    0    0    0
    2:28.958    53625     N    0    0    0
    2:29.769    53917     N    0    0    0
    2:30.589    54212     N    0    0    0
    2:31.389    54500     N    0    0    0
    2:32.158    54777     N    0    0    0
    2:32.939    55058     N    0    0    0
    2:33.714    55337     N    0    0    0
    2:34.500    55620     N    0    0    0
    2:35.278    55900     N    0    0    0
    2:36.114    56201     N    0    0    0
    2:36.928    56494     N    0    0    0
    2:37.719    56779     N    0    0    0
    2:38.469    57049     N    0    0    0
    2:39.239    57326     N    0    0    0
    2:40.025    57609     N    0    0    0
    2:40.819    57895     N    0    0    0
    2:41.628    58186     N    0    0    0
    2:42.453    58483     N    0    0    0
    2:43.278    58780     N    0    0    0
    2:44.083    59070     N    0    0    0
    2:44.853    59347     N    0    0    0
    2:45.625    59625     N    0    0    0
    2:46.425    59913     N    0    0    0
    2:47.244    60208     N    0    0    0
    2:48.083    60510     N    0    0    0
    2:48.919    60811     N    0    0    0
    2:49.719    61099     N    0    0    0
    2:50.514    61385     N    0    0    0
    2:51.314    61673     N    0    0    0
    2:52.103    61957     N    0    0    0
    2:52.894    62242     N    0    0    0
    2:53.725    62541     N    0    0    0
    2:54.569    62845     N    0    0    0
    2:55.403    63145     N    0    0    0
    2:56.200    63432     N    0    0    0
    2:56.958    63705     N    0    0    0
    2:57.753    63991     N    0    0    0
    2:58.558    64281     N    0    0    0
    2:59.375    64575     N    0    0    0
    3:00.194    64870     N    0    0    0
    3:01.019    65167     N    0    0    0
    3:01.825    65457     N    0    0    0
    3:02.619    65743     N    0    0    0
    3:03.400    66024     N    0    0    0
    3:04.169    66301     N    0    0    0
    3:04.994    66598     N    0    0    0
    3:05.514    66785     N    0    0    0
    3:06.453    67123     N    0    0    0
    3:07.300    67428     N    0    0    0
    3:08.114    67721     N    0    0    0
    3:08.889    68000     N    0    0    0
    3:09.708    68295     N    0    0    0
    3:10.525    68589     N    0    0    0
    3:11.333    68880     N    0    0    0
    3:12.178    69184     N    0    0    0
    3:13.050    69498     N    0    0    0
    3:13.858    69789     N    0    0    0
    3:14.628    70066     N    0    0    0
    3:15.419    70351     N    0    0    0
    3:16.208    70635     N    0    0    0
    3:17.039    70934     N    0    0    0
    3:17.869    71233     N    0    0    0
    3:18.703    71533     N    0    0    0
    3:19.553    71839     N    0    0    0
    3:20.364    72131     N    0    0    0
    3:21.139    72410     N    0    0    0
    3:21.933    72696     N    0    0    0
    3:22.753    72991     N    0    0    0
    3:23.600    73296     N    0    0    0
    3:24.458    73605     N    0    0    0
    3:25.294    73906     N    0    0    0
    3:26.078    74188     N    0    0    0
    3:26.878    74476     N    0    0    0
    3:27.669    74761     N    0    0    0
    3:28.275    74979     N    0    0    0
    3:29.239    75326     N    0    0    0
    3:30.069    75625     N    0    0    0
    3:30.914    75929     N    0    0    0
    3:31.739    76226     N    0    0    0
    3:32.525    76509     N    0    0    0
    3:33.275    76779     N    0    0    0
    3:34.075    77067     N    0    0    0
    3:34.889    77360     N    0    0    0
    3:35.714    77657     N    0    0    0
    3:36.519    77947     N    0    0    0
    3:37.344    78244     N    0    0    0
    3:38.144    78532     N    0    0    0
    3:38.939    78818     N    0    0    0
    3:39.703    79093     N    0    0    0
    3:40.500    79380     N    0    0    0
    3:41.339    79682     N    0    0    0
    3:42.178    79984     N    0    0    0
    3:43.008    80283     N    0    0    0
    3:43.825    80577     N    0    0    0
    3:44.614    80861     N    0    0    0
    3:45.403    81145     N    0    0    0
    3:46.203    81433     N    0    0    0
    3:47.008    81723     N    0    0    0
    3:47.844    82024     N    0    0    0
    3:48.694    82330     N    0    0    0
    3:49.528    82630     N    0    0    0
    3:50.333    82920     N    0    0    0
    3:51.119    83203     N    0    0    0
    3:51.903    83485     N    0    0    0
    3:52.744    83788     N    0    0    0
    3:53.603    84097     N    0    0    0
    3:54.450    84402     N    0    0    0
    3:55.283    84702     N    0    0    0
    3:56.119    85003     N    0    0    0
    3:56.925    85293     N    0    0    0
    3:57.703    85573     N    0    0    0
    3:58.508    85863     N    0    0    0
    3:59.350    86166     N    0    0    0
    4:00.200    86472     N    0    0    0
    4:01.039    86774     N    0    0    0
    4:01.869    87073     N    0    0    0
    4:02.658    87357     N    0    0    0
    4:03.458    87645     N    0    0    0
    4:04.258    87933     N    0    0    0
    4:05.069    88225     N    0    0    0
    4:05.900    88524     N    0    0    0
    4:06.744    88828     N    0    0    0
    4:07.578    89128     N    0    0    0
    4:08.375    89415     N    0    0    0
    4:09.158    89697     N    0    0    0
    4:09.950    89982     N    0    0    0
    4:10.778    90280     N    0    0    0
    4:11.619    90583     N    0    0    0
    4:12.439    90878     N    0    0    0
    4:13.283    91182     N    0    0    0
    4:14.100    91476     N    0    0    0
    4:14.875    91755     N    0    0    0
    4:15.669    92041     N    0    0    0
    4:16.475    92331     N    0    0    0
    4:17.300    92628     N    0    0    0
    4:18.158    92937     N    0    0    0
    4:19.000    93240     N    0    0    0
    4:19.800    93528     N    0    0    0
    4:20.603    93817     N    0    0    0
    4:21.378    94096     N    0    0    0
    4:22.194    94390     N    0    0    0
    4:23.019    94687     N    0    0    0
    4:23.858    94989     N    0    0    0
    4:24.700    95292     N    0    0    0
    4:25.553    95599     N    0    0    0
    4:26.350    95886     N    0    0    0
    4:27.125    96165     N    0    0    0
    4:27.900    96444     N    0    0    0
    4:28.725    96741     N    0    0    0
    4:29.564    97043     N    0    0    0
    4:30.394    97342     N    0    0    0
    4:31.219    97639     N    0    0    0
    4:32.028    97930     N    0    0    0
    4:32.839    98222     N    0    0    0
    4:33.614    98501     N    0    0    0
    4:34.394    98782     N    0    0    0
    4:35.214    99077     N    0    0    0
    4:36.044    99376     N    0    0    0
    4:36.594    99574     N    0    0    0
    4:37.564    99923     N    0    0    0
    4:38.364   100211     N    0    0    0
    4:39.139   100490     N    0    0    0
    4:39.928   100774     N    0    0    0
    4:40.733   101064     N    0    0    0
    4:41.539   101354     N    0    0    0
    4:42.353   101647     N    0    0    0
    4:43.153   101935     N    0    0    0
    4:43.969   102229     N    0    0    0
    4:44.750   102510     N    0    0    0
    4:45.519   102787     N    0    0    0
    4:46.300   103068     N    0    0    0
    4:47.125   103365     N    0    0    0
    4:47.953   103663     N    0    0    0
    4:48.769   103957     N    0    0    0
    4:49.594   104254     N    0    0    0
    4:50.383   104538     N    0    0    0
    4:51.178   104824     N    0    0    0
    4:51.978   105112     N    0    0    0
    4:52.778   105400     N    0    0    0
    4:53.614   105701     N    0    0    0
    4:54.469   106009     N    0    0    0
    4:55.300   106308     N    0    0    0
    4:56.094   106594     N    0    0    0
    4:56.878   106876     N    0    0    0
    4:57.650   107154     N    0    0    0
    4:58.458   107445     N    0    0    0
    4:59.283   107742     N    0    0    0
    5:00.094   108034     N    0    0    0
    5:00.925   108333     N    0    0    0
    5:01.758   108633     N    0    0    0
    5:02.544   108916     N    0    0    0
    5:03.314   109193     N    0    0    0
    5:04.108   109479     N    0    0    0
    5:04.903   109765     N    0    0    0
    5:05.750   110070     N    0    0    0
    5:06.578   110368     N    0    0    0
    5:07.408   110667     N    0    0    0
    5:08.214   110957     N    0    0    0
    5:08.989   111236     N    0    0    0
    5:09.769   111517     N    0    0    0
    5:10.564   111803     N    0    0    0
    5:11.394   112102     N    0    0    0
    5:12.219   112399     N    0    0    0
    5:13.064   112703     N    0    0    0
    5:13.875   112995     N    0    0    0
    5:14.650   113274     N    0    0    0
    5:15.433   113556     N    0    0    0
    5:16.228   113842     N    0    0    0
    5:17.044   114136     N    0    0    0
    5:17.839   114422     N    0    0    0
    5:18.639   114710     N    0    0    0
    5:19.419   114991     N    0    0    0
    5:20.194   115270     N    0    0    0
    5:20.950   115542     N    0    0    0
    5:21.689   115808     N    0    0    0
    5:22.433   116076     N    0    0    0
    5:23.228   116362     N    0    0    0
    5:24.019   116647     N    0    0    0
    5:24.814   116933     N    0    0    0
    5:25.575   117207     N    0    0    0
    5:26.344   117484     N    0    0    0
    5:27.100   117756     N    0    0    0
    5:27.878   118036     N    0    0    0
    5:28.653   118315     N    0    0    0
    5:29.444   118600     N    0    0    0
    5:30.294   118906     N    0    0    0
    5:31.125   119205     N    0    0    0
    5:31.944   119500     N    0    0    0
    5:32.725   119781     N    0    0    0
    5:33.514   120065     N    0    0    0
    5:34.350   120366     N    0    0    0
    5:35.183   120666     N    0    0    0
    5:36.058   120981     N    0    0    0
    5:36.919   121291     N    0    0    0
    5:37.764   121595     N    0    0    0
    5:38.553   121879     N    0    0    0
    5:39.333   122160     N    0    0    0
    5:40.144   122452     N    0    0    0
    5:40.944   122740     N    0    0    0
    5:41.778   123040     N    0    0    0
    5:42.639   123350     N    0    0    0
    5:43.478   123652     N    0    0    0
    5:44.239   123926     N    0    0    0
    5:45.028   124210     N    0    0    0
    5:45.825   124497     N    0    0    0
    5:46.578   124768     N    0    0    0
    5:47.369   125053     N    0    0    0
    5:48.189   125348     N    0    0    0
    5:49.003   125641     N    0    0    0
    5:49.775   125919     N    0    0    0
    5:50.550   126198     N    0    0    0
    5:51.303   126469     N    0    0    0
    5:52.053   126739     N    0    0    0
    5:52.828   127018     N    0    0    0
    5:53.628   127306     N    0    0    0
    5:54.433   127596     N    0    0    0
    5:55.239   127886     N    0    0    0
    5:55.775   128079     N    0    0    0
    5:56.714   128417     N    0    0    0
    5:57.475   128691     N    0    0    0
    5:58.200   128952     N    0    0    0
    5:58.958   129225     N    0    0    0
    5:59.758   129513     N    0    0    0
    6:00.533   129792     N    0    0    0
    6:01.253   130051     N    0    0    0
    6:01.978   130312     N    0    0    0
    6:02.669   130561     N    0    0    0
    6:03.358   130809     N    0    0    0
    6:04.075   131067     N    0    0    0
    6:04.778   131320     N    0    0    0
    6:05.494   131578     N    0    0    0
    6:06.239   131846     N    0    0    0
    6:06.989   132116     N    0    0    0
    6:07.703   132373     N    0    0    0
    6:08.394   132622     N    0    0    0
    6:09.100   132876     N    0    0    0
    6:09.789   133124     N    0    0    0
    6:10.508   133383     N    0    0    0
    6:11.269   133657     N    0    0    0
    6:12.019   133927     N    0    0    0
    6:12.750   134190     N    0    0    0
    6:13.489   134456     N    0    0    0
    6:14.253   134731     N    0    0    0
    6:14.953   134983     N    0    0    0
    6:15.658   135237     N    0    0    0
    6:16.383   135498     N    0    0    0
    6:17.150   135774     N    0    0    0
    6:17.928   136054     N    0    0    0
    6:18.733   136344     N    0    0    0
    6:19.508   136623     N    0    0    0
    6:20.258   136893     N    0    0    0
    6:21.014   137165     N    0    0    0
    6:21.783   137442     N    0    0    0
    6:22.564   137723     N    0    0    0
    6:23.339   138002     N    0    0    0
    6:24.158   138297     N    0    0    0
    6:24.978   138592     N    0    0    0
    6:25.783   138882     N    0    0    0
    6:26.533   139152     N    0    0    0
    6:27.314   139433     N    0    0    0
    6:28.089   139712     N    0    0    0
    6:28.894   140002     N    0    0    0
    6:29.714   140297     N    0    0    0
    6:30.533   140592     N    0    0    0
    6:31.319   140875     N    0    0    0
    6:32.069   141145     N    0    0    0
    6:32.825   141417     N    0    0    0
    6:33.550   141678     N    0    0    0
    6:34.269   141937     N    0    0    0
    6:35.003   142201     N    0    0    0
    6:35.758   142473     N    0    0    0
    6:36.500   142740     N    0    0    0
    6:37.233   143004     N    0    0    0
    6:37.939   143258     N    0    0    0
    6:38.633   143508     N    0    0    0
    6:39.328   143758     N    0    0    0
    6:40.050   144018     N    0    0    0
    6:40.775   144279     N    0    0    0
    6:41.528   144550     N    0    0    0
    6:42.294   144826     N    0    0    0
    6:43.069   145105     N    0    0    0
    6:43.819   145375     N    0    0    0
    6:44.553   145639     N    0    0    0
    6:45.264   145895     N    0    0    0
    6:46.008   146163     N    0    0    0
    6:46.775   146439     N    0    0    0
    6:47.583   146730     N    0    0    0
    6:48.350   147006     N    0    0    0
    6:49.125   147285     N    0    0    0
    6:49.883   147558     N    0    0    0
    6:50.628   147826     N    0    0    0
    6:51.369   148093     N    0    0    0
    6:52.094   148354     N    0    0    0
    6:52.864   148631     N    0    0    0
    6:53.639   148910     N    0    0    0
    6:54.428   149194     N    0    0    0
    6:55.219   149479     N    0    0    0
    6:56.003   149761     N    0    0    0
    6:56.728   150022     N    0    0    0
    6:57.478   150292     N    0    0    0
    6:58.239   150566     N    0    0    0
    6:59.003   150841     N    0    0    0
    6:59.764   151115     N    0    0    0
    7:00.553   151399     N    0    0    0
    7:01.375   151695     N    0    0    0
    7:02.133   151968     N    0    0    0
    7:02.864   152231     N    0    0    0
    7:03.625   152505     N    0    0    0
    7:04.375   152775     N    0    0    0
    7:05.169   153061     N    0    0    0
    7:05.989   153356     N    0    0    0
    7:06.769   153637     N    0    0    0
    7:07.544   153916     N    0    0    0
    7:08.294   154186     N    0    0    0
    7:09.064   154463     N    0    0    0
    7:09.819   154735     N    0    0    0
    7:10.564   155003     N    0    0    0
    7:11.350   155286     N    0    0    0
    7:12.175   155583     N    0    0    0
    7:12.944   155860     N    0    0    0
    7:13.683   156126     N    0    0    0
    7:14.414   156389     N    0    0    0
    7:15.114   156641     N    0    0    0
    7:15.828   156898     N    0    0    0
    7:16.558   157161     N    0    0    0
    7:17.289   157424     N    0    0    0
    7:18.025   157689     N    0    0    0
    7:18.758   157953     N    0    0    0
    7:19.519   158227     N    0    0    0
    7:20.228   158482     N    0    0    0
    7:20.900   158724     N    0    0    0
    7:21.578   158968     N    0    0    0
    7:22.275   159219     N    0    0    0
    7:22.978   159472     N    0    0    0
    7:23.700   159732     N    0    0    0
    7:24.428   159994     N    0    0    0
    7:25.150   160254     N    0    0    0
    7:25.833   160500     N    0    0    0
    7:26.525   160749     N    0    0    0
    7:27.219   160999     N    0    0    0
    7:27.908   161247     N    0    0    0
    7:28.594   161494     N    0    0    0
    7:29.328   161758     N    0    0    0
    7:30.078   162028     N    0    0    0
    7:30.839   162302     N    0    0    0
    7:31.575   162567     N    0    0    0
    7:32.303   162829     N    0    0    0
    7:33.019   163087     N    0    0    0
    7:33.769   163357     N    0    0    0
    7:34.503   163621     N    0    0    0
    7:35.253   163891     N    0    0    0
    7:36.044   164176     N    0    0    0
    7:36.819   164455     N    0    0    0
    7:37.569   164725     N    0    0    0
    7:38.294   164986     N    0    0    0
    7:39.000   165240     N    0    0    0
    7:39.703   165493     N    0    0    0
    7:40.414   165749     N    0    0    0
    7:41.183   166026     N    0    0    0
    7:41.928   166294     N    0    0    0
    7:42.678   166564     N    0    0    0
    7:43.428   166834     N    0    0    0
    7:44.178   167104     N    0    0    0
    7:44.900   167364     N    0    0    0
    7:45.650   167634     N    0    0    0
    7:46.403   167905     N    0    0    0
    7:47.178   168184     N    0    0    0
    7:47.994   168478     N    0    0    0
    7:48.828   168778     N    0    0    0
    7:49.628   169066     N    0    0    0
    7:50.394   169342     N    0    0    0
    7:51.175   169623     N    0    0    0
    7:51.950   169902     N    0    0    0
    7:52.764   170195     N    0    0    0
    7:53.569   170485     N    0    0    0
    7:54.189   170708     N    0    0    0
    7:55.178   171064     N    0    0    0
    7:56.003   171361     N    0    0    0
    7:56.783   171642     N    0    0    0
    7:57.528   171910     N    0    0    0
    7:58.303   172189     N    0    0    0
    7:59.089   172472     N    0    0    0
    7:59.914   172769     N    0    0    0
    8:00.725   173061     N    0    0    0
    8:01.514   173345     N    0    0    0
    8:02.283   173622     N    0    0    0
    8:03.053   173899     N    0    0    0
    8:03.803   174169     N    0    0    0
    8:04.569   174445     N    0    0    0
    8:05.364   174731     N    0    0    0
    8:06.158   175017     N    0    0    0
    8:06.989   175316     N    0    0    0
    8:07.778   175600     N    0    0    0
    8:08.528   175870     N    0    0    0
    8:09.275   176139     N    0    0    0
    8:10.058   176421     N    0    0    0
    8:10.814   176693     N    0    0    0
    8:11.578   176968     N    0    0    0
    8:12.339   177242     N    0    0    0
    8:13.103   177517     N    0    0    0
    8:13.864   177791     N    0    0    0
    8:14.594   178054     N    0    0    0
    8:15.303   178309     N    0    0    0
    8:16.028   178570     N    0    0    0
    8:16.764   178835     N    0    0    0
    8:17.528   179110     N    0    0    0
    8:18.278   179380     N    0    0    0
    8:19.044   179656     N    0    0    0
    8:19.778   179920     N    0    0    0
    8:20.489   180176     N    0    0    0
    8:21.214   180437     N    0    0    0
    8:21.939   180698     N    0    0    0
    8:22.658   180957     N    0    0    0
    8:23.419   181231     N    0    0    0
    8:24.214   181517     N    0    0    0
    8:25.008   181803     N    0    0    0
    8:25.775   182079     N    0    0    0
    8:26.525   182349     N    0    0    0
    8:27.275   182619     N    0    0    0
    8:28.028   182890     N    0    0    0
    8:28.814   183173     N    0    0    0
    8:29.633   183468     N    0    0    0
    8:30.478   183772     N    0    0    0
    8:31.283   184062     N    0    0    0
    8:32.089   184352     N    0    0    0
    8:32.900   184644     N    0    0    0
    8:33.683   184926     N    0    0    0
    8:34.464   185207     N    0    0    0
    8:35.289   185504     N    0    0    0
    8:36.175   185823     N    0    0    0
    8:37.033   186132     N    0    0    0
    8:37.833   186420     N    0    0    0
    8:38.639   186710     N    0    0    0
    8:39.439   186998     N    0    0    0
    8:40.233   187284     N    0    0    0
    8:41.028   187570     N    0    0    0
    8:41.850   187866     N    0    0    0
    8:42.694   188170     N    0    0    0
    8:43.539   188474     N    0    0    0
    8:44.314   188753     N    0    0    0
    8:45.094   189034     N    0    0    0
    8:45.900   189324     N    0    0    0
    8:46.714   189617     N    0    0    0
    8:47.564   189923     N    0    0    0
    8:48.383   190218     N    0    0    0
    8:49.228   190522     N    0    0    0
    8:50.039   190814     N    0    0    0
    8:50.850   191106     N    0    0    0
    8:51.633   191388     N    0    0    0
    8:52.400   191664     N    0    0    0
    8:53.250   191970     N    0    0    0
    8:54.089   192272     N    0    0    0
    8:54.903   192565     N    0    0    0
    8:55.708   192855     N    0    0    0
    8:56.500   193140     N    0    0    0
    8:57.269   193417     N    0    0    0
    8:58.044   193696     N    0    0    0
    8:58.853   193987     N    0    0    0
    8:59.650   194274     N    0    0    0
    9:00.469   194569     N    0    0    0
    9:01.283   194862     N    0    0    0
    9:02.078   195148     N    0    0    0
    9:02.833   195420     N    0    0    0
    9:03.594   195694     N    0    0    0
    9:04.364   195971     N    0    0    0
    9:05.175   196263     N    0    0    0
    9:05.983   196554     N    0    0    0
    9:06.778   196840     N    0    0    0
    9:07.575   197127     N    0    0    0
    9:08.353   197407     N    0    0    0
    9:09.103   197677     N    0    0    0
    9:09.839   197942     N    0    0    0
    9:10.603   198217     N    0    0    0
    9:11.383   198498     N    0    0    0
    9:12.178   198784     N    0    0    0
    9:12.969   199069     N    0    0    0
    9:13.739   199346     N    0    0    0
    9:14.478   199612     N    0    0    0
    9:15.244   199888     N    0    0    0
    9:15.989   200156     N    0    0    0
    9:16.750   200430     N    0    0    0
    9:17.514   200705     N    0    0    0
    9:18.289   200984     N    0    0    0
    9:19.058   201261     N    0    0    0
    9:19.819   201535     N    0    0    0
    9:20.553   201799     N    0    0    0
    9:21.278   202060     N    0    0    0
    9:22.033   202332     N    0    0    0
    9:22.800   202608     N    0    0    0
    9:23.578   202888     N    0    0    0
    9:24.378   203176     N    0    0    0
    9:25.175   203463     N    0    0    0
    9:25.928   203734     N    0    0    0
    9:26.708   204015     N    0    0    0
    9:27.478   204292     N    0    0    0
    9:28.244   204568     N    0    0    0
    9:29.025   204849     N    0    0    0
    9:29.864   205151     N    0    0    0
    9:30.700   205452     N    0    0    0
    9:31.475   205731     N    0    0    0
    9:32.253   206011     N    0    0    0
    9:33.003   206281     N    0    0    0
    9:33.778   206560     N    0    0    0
    9:34.550   206838     N    0    0    0
    9:35.339   207122     N    0    0    0
    9:36.150   207414     N    0    0    0
    9:36.994   207718     N    0    0    0
    9:37.775   207999     N    0    0    0
    9:38.528   208270     N    0    0    0
    9:39.278   208540     N    0    0    0
    9:40.044   208816     N    0    0    0
    9:40.814   209093     N    0    0    0
    9:41.628   209386     N    0    0    0
    9:42.439   209678     N    0    0    0
    9:43.239   209966     N    0    0    0
    9:44.025   210249     N    0    0    0
    9:44.800   210528     N    0    0    0
    9:45.564   210803     N    0    0    0
    9:46.328   211078     N    0    0    0
    9:47.103   211357     N    0    0    0
    9:47.908   211647     N    0    0    0
    9:48.733   211944     N    0    0    0
    9:49.503   212221     N    0    0    0
    9:50.264   212495     N    0    0    0
    9:51.028   212770     N    0    0    0
    9:51.808   213051     N    0    0    0
    9:52.553   213319     N    0    0    0
    9:53.333   213600     N    0    0    0
    9:54.133   213888     N    0    0    0
    9:54.928   214174     N    0    0    0
    9:55.719   214459     N    0    0    0
    9:56.478   214732     N    0    0    0
    9:57.219   214999     N    0    0    0
    9:57.983   215274     N    0    0    0
    9:58.769   215557     N    0    0    0
    9:59.564   215843     N    0    0    0
   10:00.375   216135     N    0    0    0
   10:01.178   216424     N    0    0    0
   10:01.953   216703     N    0    0    0
   10:02.733   216984     N    0    0    0
   10:03.503   217261     N    0    0    0
   10:04.278   217540     N    0    0    0
   10:05.050   217818     N    0    0    0
   10:05.878   218116     N    0    0    0
   10:06.700   218412     N    0    0    0
   10:07.494   218698     N    0    0    0
   10:08.239   218966     N    0    0    0
   10:09.000   219240     N    0    0    0
   10:09.789   219524     N    0    0    0
   10:10.564   219803     N    0    0    0
   10:11.358   220089     N    0    0    0
   10:12.169   220381     N    0    0    0
   10:13.003   220681     N    0    0    0
   10:13.803   220969     N    0    0    0
   10:14.575   221247     N    0    0    0
   10:15.333   221520     N    0    0    0
   10:16.103   221797     N    0    0    0
   10:16.875   222075     N    0    0    0
   10:17.689   222368     N    0    0    0
   10:18.500   222660     N    0    0    0
